2017-05-01 00:02,6148,2017-05-01 00:07,6154,318,1
2017-05-01 00:02,6139,2017-05-01 00:05,6141,141,1
2017-05-01 00:02,6139,2017-05-01 00:04,6141,126,1
2017-05-01 00:02,6354,2017-05-01 00:14,6093,710,1
2017-05-01 00:03,6389,2017-05-01 00:19,6156,994,1
2017-05-01 00:03,6389,2017-05-01 00:19,6156,986,1
2017-05-01 00:04,6227,2017-05-01 00:07,7032,189,1
2017-05-01 00:06,6145,2017-05-01 00:14,6113,476,1
2017-05-01 00:06,6007,2017-05-01 00:08,6009,103,1
2017-05-01 00:06,6910,2017-05-01 00:14,6266,470,1
2017-05-01 00:07,6176,2017-05-01 00:16,6131,547,0
2017-05-01 00:08,6079,2017-05-01 00:16,6183,533,1
2017-05-01 00:09,7069,2017-05-01 00:26,6385,1052,0
2017-05-01 00:09,6129,2017-05-01 00:26,6373,1016,1
2017-05-01 00:10,6136,2017-05-01 00:13,6235,231,1
2017-05-01 00:10,6047,2017-05-01 00:12,6079,80,1
2017-05-01 00:11,6147,2017-05-01 00:16,6177,294,1
2017-05-01 00:12,6261,2017-05-01 00:19,6358,452,1
2017-05-01 00:12,6215,2017-05-01 00:25,6154,780,1
2017-05-01 00:14,6119,2017-05-01 00:21,6018,375,1
2017-05-01 00:15,6154,2017-05-01 00:21,6184,350,1
2017-05-01 00:15,6002,2017-05-01 00:30,6901,885,1
2017-05-01 00:16,6019,2017-05-01 00:37,6327,1229,1
2017-05-01 00:17,6219,2017-05-01 00:20,6903,179,1
2017-05-01 00:17,7034,2017-05-01 00:27,6252,571,1
2017-05-01 00:19,6247,2017-05-01 00:21,6257,156,1
2017-05-01 00:20,6184,2017-05-01 00:25,6152,311,1
2017-05-01 00:22,6903,2017-05-01 00:38,6243,985,1
2017-05-01 00:22,6214,2017-05-01 00:37,6124,859,1
2017-05-01 00:22,6100,2017-05-01 00:25,6095,157,1
2017-05-01 00:22,6209,2017-05-01 00:25,6021,169,1
2017-05-01 00:23,6173,2017-05-01 00:33,6132,613,1
2017-05-01 00:23,6233,2017-05-01 00:38,6176,911,1
2017-05-01 00:23,6173,2017-05-01 00:33,6132,600,1
2017-05-01 00:25,6100,2017-05-01 00:34,6087,521,1
2017-05-01 00:26,7041,2017-05-01 00:27,7041,70,1
2017-05-01 00:27,6313,2017-05-01 00:39,6744,704,1
